what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487965088975
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487965099194
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487965189606
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.openLocalFile",1487965189649
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1487965193404
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487965211899
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487965241637
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.openLocalFile",1487965241674
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487965242955
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487965244213
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487965244296
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1487965244856
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1487965244862
started,bundle,com.altera.sbtgui.core,14.0.0.200,"com.altera.sbtgui.core",1487965245287
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1487965245505
